Ingredient,Protein_g,Fat_g,Carbs_g,Fiber_g,Ash_g,Moisture_g,Ca_mg,P_mg,Mg_mg,K_mg,Na_mg,Fe_mg,Zn_mg,Cu_mg,Mn_mg,Se_mcg,I_mcg,VitA_IU,VitD_IU,VitE_mg,VitK_mcg,B1_mg,B2_mg,B3_mg,B5_mg,B6_mg,B12_mcg,Folate_mcg,Choline_mg,Taurine_mg,Source
Chicken_heart,15.6,8.2,0.7,0,1.3,74.2,9,178,21,176,70,13.1,10.6,0.48,0.04,55,0.015,40,0.4,0.6,0,0.08,1.1,3.0,3.5,0.29,6.6,3,67,620,USDA_FDC+PDF_AppA3
Chicken_gizzard,17.7,3.2,0,0,1.1,74.0,11,158,22,223,79,4.62,6.41,0.35,0.03,62,0.015,36,0.2,0.3,0,0.06,0.21,4.5,0.8,0.13,2.5,5,65,550,USDA_FDC+PDF_AppA3
Chicken_liver,16.9,4.8,0.7,0,1.3,77.3,11,297,21,263,71,8.99,3.98,0.492,0.314,70,0.025,35000,0.5,0.66,0,0.185,1.78,10.7,6.2,0.85,16.6,560,330,110,USDA_FDC+PDF_AppA3
Chicken_kidney,16.0,3.1,0.6,0,1.2,79.1,12,267,20,240,75,5.5,4.2,0.42,0.28,65,0.015,65,0.3,0.5,0,0.12,1.4,5.8,2.8,0.48,12.0,45,55,65,USDA_FDC+PDF_AppA3
Chicken_breast,21.2,2.6,0,0,1.0,75.2,5,210,26,370,116,0.4,0.6,0.04,0.01,32,0.005,9,0.1,0.2,0.2,0.1,0.1,10.4,1.4,0.7,0.2,4,60,15,USDA_FDC_171077
Chicken_frame_mince,14.0,10.0,0,0,12.0,64.0,1342,719,25,220,80,1.2,2.0,0.08,0.05,20,0.010,15,0.3,0.3,0,0.06,0.15,5.5,1.0,0.25,0.5,6,50,80,Estimated_bone_meat_composite
Lamb_muscle,20.0,4.0,0,0,1.1,74.9,11,200,24,310,72,1.9,4.5,0.12,0.02,27,0.008,0,0,0.15,0,0.12,0.25,6.2,0.75,0.14,2.5,5,65,40,USDA_FDC+PDF_AppA3
Lamb_heart,17.1,6.7,0.9,0,1.2,74.1,9,178,21,287,98,6.2,3.5,0.56,0.05,42,0.012,25,0.5,0.4,0,0.41,1.04,7.5,2.3,0.27,12.0,3,65,210,USDA_FDC_estimated
Lamb_liver,20.4,7.5,2.2,0,1.6,68.3,11,297,22,299,76,10.2,4.0,9.8,0.35,116,0.018,74500,0.5,0.4,0,0.36,4.6,17.5,7.2,1.07,85.7,400,418,150,USDA_FDC_172196
Lamb_kidney,15.7,3.1,1.0,0,1.2,79.0,12,267,19,278,182,7.9,2.9,0.46,0.21,152,0.014,158,0,0.8,0,0.51,3.59,10.8,4.6,0.61,79.0,38,60,85,USDA_FDC_172198
Goat_spleen,18.3,3.1,0,0,1.6,77.0,11,267,22,385,73,44.0,3.3,0.13,0.09,26,0.012,0,0,0.5,0,0.08,0.39,5.2,0.9,0.13,8.3,6,62,180,USDA_beef_spleen_proxy
Goat_trotters_mince,15.0,8.5,0,0,12.0,64.5,1132,568,28,185,95,1.5,2.2,0.09,0.06,18,0.010,12,0.2,0.2,0,0.05,0.12,3.5,0.8,0.18,0.4,5,45,70,Estimated_collagen_bone_composite
Sardine_whole,20.9,9.0,0,0,2.9,67.2,382,490,39,397,307,2.9,1.3,0.19,0.02,52.7,0.035,108,10.8,2.04,2.6,0.08,0.23,5.2,1.0,0.17,8.9,10,60,45,USDA_FDC_175139
Fish_bone_meal,50.0,10.0,0,0,25.0,5.0,13000,7000,400,500,800,15.0,8.0,0.5,0.3,30,0.050,50,50,1.0,0,0.02,0.10,2.0,0.5,0.08,1.0,5,30,5,Industry_standard_estimate
Egg_yolk_powder,34.0,26.0,1.4,0,4.0,2.0,148,590,16,150,48,5.9,4.9,0.08,0.05,56,0.044,1442,2.2,3.0,0.7,0.18,0.56,0.11,3.5,0.35,3.6,146,1160,0,USDA_FDC_171292
Egg_white_powder,82.0,0.5,3.0,0,5.2,4.0,80,150,11,1330,1280,0.2,0.03,0.06,0.01,20,0.010,0,0,0,0,0.02,1.58,0.39,0.45,0.01,0.3,8,0,0,USDA_FDC_172183
Pumpkin_puree,1.1,0.1,5.0,1.1,0.5,92.2,21,44,12,340,3,0.8,0.32,0.127,0.125,0.3,0.002,8513,0,1.06,1.1,0.05,0.11,0.6,0.3,0.06,0,16,9,0,USDA_FDC_169974
Whey_protein_concentrate,75.0,5.0,10.0,0,3.5,4.0,600,500,50,850,350,0.5,3.0,0.05,0.02,10,0.020,25,0.5,0.1,0,0.4,1.9,1.2,3.5,0.25,1.2,15,18,0,Industry_typical
Soy_protein_isolate,88.0,1.0,3.0,2.0,4.5,4.0,200,700,85,210,1100,4.5,3.8,0.4,1.2,16,0.015,0,0,0.6,0,0.2,0.14,1.2,0.4,0.08,0,285,2.5,0,USDA_FDC_174271
Lecithin_sunflower,0,100.0,0,0,0,0,2,5,0,5,2,0.1,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,Industry_standard
Calcium_citrate,0,0,0,0,95.0,0,21100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC_specification